,Speceis Name,optimal temperature,optimal pH,optimal salt concentration
0,Acidisoma sibiricum,22.5,5.8,None
1,Acidisoma tundrae,18.5,5.1,None
2,Granulibacter bethesdensis,36.0,5.8,None
3,Roseomonas pecuniae,30.0,7.0,None
4,Roseomonas aerilata,30.0,6.5,None
5,Roseomonas vinacea,31.0,7.2,None
6,Roseomonas aquatica,26.5,7.0,None
7,Roseomonas lacus,30.0,7.0,None
8,Roseomonas rosea,30.0,None,None
9,Acidisphaera rubrifaciens,32.5,4.8,None
10,Stella vacuolata,28.0,None,None
11,Stella humosa,29.0,None,None
12,Belnapia rosea,30.0,7.2,None
13,Belnapia moabensis,25.0,7.0,None
14,Acidiphilium cryptum,38.0,None,None
15,Acetobacter senegalensis,35.0,None,None
16,Acetobacter oeni,28.0,None,None
17,Arcanobacterium haemolyticum,37.0,None,None
18,Gleimia hominis,35.0,7.0,0.5
19,Actinomyces timonensis,37.0,7.0,0.5
20,Actinomyces massiliensis,37.0,None,None
21,Schaalia meyeri,33.5,None,None
22,Actinobaculum suis,37.0,7.5,None
23,Acidicapsa ligni,25.0,4.2,None
24,Acidicapsa borealis,25.0,5.2,None
25,Bryocella elongata,22.0,5.0,None
26,Telmatobacter bradus,24.0,4.8,None
27,Granulicella paludicola,20.0,4.2,None
28,Granulicella aggregans,20.0,4.5,None
29,Granulicella pectinivorans,20.0,4.2,None
30,Granulicella rosea,20.0,4.5,None
31,Terriglobus saanensis,25.0,6.0,None
32,Edaphobacter aggregans,30.0,5.5,None
33,Edaphobacter modestus,30.0,5.5,None
34,Ferrithrix thermotolerans,43.0,1.8,None
35,Ferrimicrobium acidiphilum,35.0,2.0,None
36,Acidimicrobium ferrooxidans,47.5,2.0,None
37,Succinispira mobilis,37.0,7.6,None
38,Zobellella denitrificans,32.5,7.5,2.0
39,Tolumonas osonensis,22.0,7.5,None
40,Tolumonas auensis,22.0,7.2,None
41,Oceanisphaera sediminis,30.0,7.0,None
42,Oceanisphaera donghaensis,36.0,7.0,4.25
43,Aeromonas rivuli,30.0,8.8,None
44,Aeromonas sanarellii,30.0,None,None
45,Aeromonas taiwanensis,30.0,9.0,None
46,Aeromonas fluvialis,30.0,None,None
47,Aeromonas bivalvium,33.5,None,None
48,Aeromonas popoffii,28.0,None,None
49,Aeromonas dhakensis,33.5,None,None
50,Aeromonas molluscorum,27.5,None,None
51,Aeromonas simiae,30.0,None,None
52,Globicatella sulfidifaciens,39.5,None,None
53,Aerococcus urinaeequi,27.5,8.8,None
54,Trueperella bonasi,37.0,7.0,None
55,Trueperella bialowiezensis,37.0,7.0,None
56,Kangiella spongicola,29.5,7.25,6.0
57,Kangiella aquimarina,33.5,7.5,2.5
58,Kangiella koreensis,33.5,7.5,2.5
59,Alcanivorax balearicus,28.0,7.0,7.5
60,Alcanivorax dieselolei,28.0,None,5.25
61,Candidimonas bauzanensis,27.5,None,None
62,Advenella mimigardefordensis,33.5,None,None
63,Advenella kashmirensis,26.0,6.5,None
64,Bordetella trematum,37.0,None,None
65,Bordetella avium,37.0,None,None
66,Pusillimonas harenae,30.0,6.8,1.5
67,Pusillimonas ginsengisoli,30.0,7.0,None
68,Pusillimonas soli,30.0,6.8,None
69,Pigmentiphaga litoralis,27.5,7.0,0.75
70,Pigmentiphaga daeguensis,37.0,7.5,0.5
71,Castellaniella daejeonensis,30.0,None,None
72,Castellaniella ginsengisoli,30.0,6.8,None
73,Castellaniella caeni,30.0,6.5,None
74,Castellaniella denitrificans,27.5,7.0,None
75,Aliagarivorans taiwanensis,27.5,8.0,3.0
76,Aliagarivorans marinus,27.5,8.0,3.0
77,Pseudohaliea rubra,30.0,8.0,None
78,Haliea salexigens,27.5,8.0,None
79,Marinobacter adhaerens,36.0,8.0,4.0
80,Marinobacter oulmenensis,38.5,6.8,6.25
81,Marinobacter santoriniensis,37.5,7.5,7.5
82,Marinobacter goseongensis,27.5,7.5,4.5
83,Marinobacter salsuginis,36.0,7.75,5.0
84,Marinobacter gudaonensis,27.5,7.75,2.5
85,Marinobacter maritimus,22.0,8.5,4.0
86,Marinobacter daepoensis,33.5,7.5,4.0
87,Marinobacter algicola,27.5,7.5,4.5
88,Marinobacter flavimaris,37.0,7.5,4.0
89,Marinobacter lipolyticus,37.0,7.5,7.5
90,Marinobacter nauticus,32.0,7.2,3.51
91,Salinimonas chungwhensis,32.5,7.5,3.5
92,Saccharophagus degradans,30.0,7.5,3.5
93,Microbulbifer taiwanensis,28.0,None,3.5
94,Microbulbifer epialgicus,30.0,7.5,2.0
95,Microbulbifer agarilyticus,33.0,7.75,2.5
96,Microbulbifer thermotolerans,46.0,7.0,1.5
97,Marinobacterium lutimaris,27.5,7.0,None
98,Marinobacterium rhizophilum,25.0,7.0,3.0
99,Marinobacterium litorale,30.0,9.0,3.25
100,Marinobacterium iners,37.0,7.5,1.76
101,Marinimicrobium agarilyticum,35.0,7.5,0.5
102,Marinimicrobium koreense,37.5,7.2,2.0
103,Paraglaciecola polaris,17.5,None,5.0
104,Glaciecola pallidula,12.5,None,None
105,Alishewanella agri,30.0,7.0,2.0
106,Alishewanella jeotgali,37.0,8.0,1.0
107,Alishewanella aestuarii,37.0,None,5.0
108,Alishewanella fetalis,37.0,None,None
109,Aestuariibacter salexigens,35.0,7.5,4.0
110,Aestuariibacter halophilus,40.0,7.5,5.5
111,Alicyclobacillus ferrooxydans,28.0,3.0,1.5
112,Effusibacillus pohliae,55.0,5.5,None
113,Alicyclobacillus shizuokensis,47.5,4.25,2.5
114,Alicyclobacillus macrosporangiidus,52.5,4.25,2.5
115,Alicyclobacillus kakegawensis,52.5,4.25,1.0
116,Alicyclobacillus fastidiosus,42.5,4.25,1.0
117,Alicyclobacillus contaminans,52.5,4.25,1.0
118,Alicyclobacillus sacchari,47.5,4.25,1.0
119,Alicyclobacillus vulcanalis,55.0,4.0,1.0
120,Alicyclobacillus acidiphilus,50.0,3.0,None
121,Bacillus amyloliquefaciens,35.0,None,None
122,Viridibacillus neidei,29.0,None,None
123,Anoxybacillus tengchongensis,50.0,8.5,1.5
124,Anoxybacillus eryuanensis,55.0,8.0,0.5
125,Anoxybacillus bogrovensis,65.0,8.0,0.5
126,Anoxybacillus voinovskiensis,47.0,7.5,1.5
127,Anoxybacillus tepidamans,55.0,7.0,None
128,Anoxybacillus contaminans,50.0,7.0,None
129,Alkalibacillus flavidus,37.0,8.75,10.0
130,Alkalibacillus silvisoli,33.5,9.2,12.5
131,Alkalibacillus filiformis,30.0,9.0,10.0
132,Aureimonas frigidaquae,25.0,7.0,0.0
133,Aureimonas ureilytica,27.5,7.5,1.5
134,Aureimonas altamirensis,28.0,None,1.0
135,Martelella mediterranea,28.0,7.0,2.0
136,Fulvimarina pelagi,30.0,7.5,2.0
137,Thermocrinis minervae,75.0,5.9,None
138,Sulfurihydrogenibium kristjanssonii,68.0,6.6,None
139,Sulfurihydrogenibium rodmanii,75.0,6.0,None
140,Sulfurihydrogenibium azorense,68.0,6.0,0.1
141,Persephonella marina,73.0,6.0,2.5
142,Hydrogenobacter thermophilus,72.5,None,None
143,Hydrogenivirga okinawensis,72.5,7.2,2.5
144,Hydrogenivirga caldilitoris,75.0,6.75,2.0
145,Ornatilinea apprima,43.5,7.75,1.0
146,Bellilinea caldifistulae,55.0,7.0,0.25
147,Levilinea saccharolytica,37.0,7.0,None
148,Leptolinea tardivitalis,37.0,7.0,None
149,Anaerolinea thermolimosa,50.0,7.0,None
150,Anaerolinea thermophila,55.0,7.0,None
151,Hydrogenibacillus schlegelii,72.5,6.5,3.0
152,Paenibacillus xerothermodurans,37.0,7.0,0.5
153,Bacillus subtilis,30.0,None,None
154,Bacillus pseudomycoides,28.0,None,None
155,Bacillus vallismortis,29.0,None,None
156,Heyndrickxia sporothermodurans,37.0,None,None
157,Salipaludibacillus agaradhaerens,37.0,8.8,2.5
158,Heyndrickxia oleronia,37.0,None,None
159,Bacillus chungangensis,30.0,7.0,5.0
160,Salibacterium halochares,37.0,8.0,14.5
161,Cytobacillus horneckiae,30.0,7.0,None
162,Metabacillus galliciensis,20.0,7.2,2.0
163,Alkalihalobacillus trypoxylicola,30.0,9.0,None
164,Salipaludibacillus neizhouensis,25.0,8.5,3.0
165,Fictibacillus solisalsi,38.5,8.5,7.5
166,Salibacterium aidingense,37.0,7.2,12.0
167,Litchfieldia alkalitelluris,30.0,9.2,0.5
168,Bacillus cecembensis,25.0,7.0,1.5
169,Bacillus coahuilensis,33.5,7.5,5.0
170,Peribacillus kribbensis,31.5,6.0,1.5
171,Alkalicoccobacillus murimartini,17.5,8.5,None
172,Alkalicoccus chagannorensis,37.0,8.5,7.0
173,Salibacterium qingdaonense,37.0,9.0,12.0
174,Bacillus decisifrondis,40.0,8.4,None
175,Bacillus lehensis,25.0,8.0,6.0
176,Peribacillus butanolivorans,25.0,7.0,1.0
177,Mesobacillus foraminis,40.0,None,None
178,Bacillus okhensis,37.0,9.0,5.0
179,Halalkalibacter akibai,37.0,9.5,4.5
180,Bacillus alveayuensis,55.0,7.25,3.0
181,Rossellomorea vietnamensis,35.0,8.25,1.0
182,Margalitia shackletonii,37.0,7.0,None
183,Gottfriedia luciferensis,30.0,7.0,None
184,Mesobacillus selenatarsenatis,32.5,8.25,3.5
185,Alteribacter aurantiacus,28.0,9.75,5.0
186,Bacillus seohaeanensis,37.5,7.5,4.0
187,Neobacillus fumarioli,50.0,5.5,None
